symbol,sweep,steps,reset_interval,return_pct,num_trades,final_value,score
ETH,0.4,2,,79.65324609375,4,179653.24609375,19.9133115234375
PAXG,0.4,6,60.0,13.503744791666659,2,113503.74479166666,6.751872395833329
BNB,0.3,2,,3.473801513671875,2,103473.80151367188,1.7369007568359376
SOL,0.3,2,,3.1410271911621095,4,103141.02719116211,0.7852567977905274
BCH,0.5,2,7.0,1.5329820251464843,2,101532.98202514648,0.7664910125732421
AAVE,0.5,2,,1.1390624999999999,2,101139.0625,0.5695312499999999
LTC,0.5,2,,0.9804344940185548,2,100980.43449401855,0.4902172470092774
LINK,0.4,2,,0.41633995056152345,4,100416.33995056152,0.10408498764038086
AVAX,0.15,2,,0.40842382049560544,4,100408.4238204956,0.10210595512390136
ETC,0.15,2,,0.29840806961059574,4,100298.4080696106,0.07460201740264893
DOT,0.25,2,,0.12583552837371828,4,100125.83552837372,0.03145888209342957
RENDER,0.2,2,,0.11083240127563476,4,100110.83240127563,0.02770810031890869
EIGEN,0.3,2,,0.07285456466674804,4,100072.85456466675,0.01821364116668701
WIF,0.25,2,,0.04833367466926575,4,100048.33367466927,0.012083418667316437
TON,0.2,2,,0.03700700283050537,4,100037.0070028305,0.009251750707626342
XTZ,0.4,2,,0.03002464771270752,4,100030.02464771271,0.00750616192817688
XRP,0.5,2,14.0,0.019020326733589173,3,100019.02032673359,0.006340108911196391
ASTER,0.5,2,,0.018686939477920533,4,100018.68693947792,0.004671734869480133
CRV,0.5,2,,0.01847741961479187,4,100018.47741961479,0.004619354903697967
ADA,0.4,2,,0.013796015739440918,4,100013.79601573944,0.0034490039348602296
VIRTUAL,0.5,2,60.0,0.06231422927230597,19,100062.3142292723,0.003279696277489788
ENA,0.2,2,,0.012223259925842287,4,100012.22325992584,0.0030558149814605717
ONDO,0.25,2,,0.011598780155181884,4,100011.59878015518,0.002899695038795471
SYRUP,0.5,2,,0.008011289834976197,4,100008.01128983498,0.0020028224587440493
AVNT,0.5,2,90.0,0.0030598801374435427,2,100003.05988013744,0.0015299400687217714
DOGE,0.4,2,,0.004260431885719299,4,100004.26043188572,0.0010651079714298249
HBAR,0.5,2,,0.0031386899203062054,4,100003.1386899203,0.0007846724800765514
XPL,0.5,2,,0.0023515781760215762,3,100002.35157817602,0.000783859392007192
XLM,0.5,2,,0.001275320053100586,2,100001.2753200531,0.000637660026550293
LDO,0.4,2,14.0,0.01082921838760376,23,100010.8292183876,0.0004708355820697287
SNX,0.4,2,7.0,0.0024023344516754153,12,100002.40233445168,0.00020019453763961794
SKY,0.25,2,30.0,0.0008761776983737945,18,100000.87617769837,4.867653879854414e-05
PNUT,0.1,2,,3.092005103826523e-05,1,100000.03092005104,3.092005103826523e-05
AERO,0.15,2,,4.616100154817104e-05,4,100000.04616100155,1.154025038704276e-05
TRUMP,0.4,2,,4.2503999546170235e-05,4,100000.04250399955,1.0625999886542559e-05
ARB,0.5,2,,4.073999938555062e-05,4,100000.04073999939,1.0184999846387654e-05
LIT,0.5,2,,2.9910000739619134e-05,4,100000.02991000074,7.4775001849047835e-06
XCN,0.2,2,60.0,2.23475320963189e-05,6,100000.0223475321,3.7245886827198168e-06
SUI,0.5,2,,6.000000284984709e-06,3,100000.00600000028,2.000000094994903e-06
FLOKI,0.4,2,,4.512000130489469e-06,4,100000.00451200013,1.1280000326223671e-06
UNI,0.5,2,,1.0950003343168647e-06,2,100000.00109500033,5.475001671584323e-07
BONK,0.5,2,,6.600000051548704e-07,4,100000.00066,1.650000012887176e-07
HYPE,0.15,2,,5.130000063218176e-07,4,100000.000513,1.282500015804544e-07
SHIB,0.2,2,,3.239999932702631e-07,4,100000.000324,8.099999831756577e-08
BTC,0.05,2,,0.0,0,100000.0,0.0
MOODENG,0.05,2,,0.0,4,100000.0,0.0
WLFI,0.05,2,,0.0,4,100000.0,0.0
USDC,0.05,2,,0.0,0,100000.0,0.0
SKR,0.5,2,7.0,-0.00020122021257702727,15,99999.79877978742,-1.3414680838468484e-05
PYTH,0.05,2,14.0,-0.02998270743340254,156,99970.0172925666,-0.00019219684252181116
SEI,0.15,2,90.0,-0.006291039092466236,30,99993.70896090753,-0.00020970130308220787
W,0.05,8,7.0,-0.37489643889712165,1123,99625.10356110288,-0.000333834763042851
OP,0.2,2,14.0,-0.023079948604106903,67,99976.9200513959,-0.00034447684483741647
ZORA,0.05,16,30.0,-5.347344903707504,160,94652.6550962925,-0.0334209056481719
