sweep,steps,reset_interval,return_pct,num_trades,final_value,score,halted,symbol,interval
0.4,2,,80.59725585937501,4,180597.255859375,20.149313964843753,False,ETH,1h
0.25,4,24.0,19.640855712890627,2,119640.85571289062,9.820427856445313,False,PAXG,1h
0.4,2,72.0,18.012143310546875,3,118012.14331054688,6.004047770182292,False,BNB,1h
0.5,2,24.0,5.906347732543946,2,105906.34773254395,2.953173866271973,False,AAVE,1h
0.4,2,,4.27498388671875,4,104274.98388671875,1.0687459716796874,False,SOL,1h
0.5,2,72.0,2.914395751953125,2,102914.39575195312,1.4571978759765625,False,BCH,1h
0.4,2,,2.4297837524414065,4,102429.7837524414,0.6074459381103516,False,LTC,1h
0.5,2,,0.527925910949707,4,100527.9259109497,0.13198147773742674,False,LINK,1h
0.15,2,,0.3028693084716797,4,100302.86930847168,0.07571732711791992,False,ETC,1h
0.1,2,,0.2897794418334961,4,100289.7794418335,0.07244486045837402,False,AVAX,1h
0.3,2,,0.15337034225463866,4,100153.37034225464,0.038342585563659666,False,DOT,1h
0.4,2,72.0,0.10105479694902898,56,100101.05479694903,0.0018045499455183747,False,VIRTUAL,1h
0.5,2,,0.08175389528274536,4,100081.75389528275,0.02043847382068634,False,TON,1h
0.4,2,72.0,0.07761503648757935,10,100077.61503648758,0.007761503648757935,False,XRP,1h
0.25,2,,0.06653763055801391,4,100066.53763055801,0.01663440763950348,False,EIGEN,1h
0.2,2,,0.04213685703277588,4,100042.13685703278,0.01053421425819397,False,WIF,1h
0.5,2,72.0,0.033835304379463194,12,100033.83530437946,0.0028196086982885996,False,LDO,1h
0.4,2,,0.03035580253601074,4,100030.35580253601,0.007588950634002685,False,XTZ,1h
0.4,2,24.0,0.02860428720712662,16,100028.60428720713,0.0017877679504454138,False,XPL,1h
0.05,2,,0.026146382331848145,4,100026.14638233185,0.006536595582962036,False,RENDER,1h
0.5,2,,0.01872544527053833,4,100018.72544527054,0.004681361317634583,False,CRV,1h
0.5,2,,0.017549271583557128,4,100017.54927158356,0.004387317895889282,False,ADA,1h
0.3,2,,0.014531344771385193,4,100014.53134477139,0.0036328361928462984,False,ONDO,1h
0.2,2,,0.013191753387451172,4,100013.19175338745,0.003297938346862793,False,ENA,1h
0.5,2,,0.0072702312469482425,4,100007.27023124695,0.0018175578117370606,False,SYRUP,1h
0.5,2,,0.005776037871837616,4,100005.77603787184,0.001444009467959404,False,DOGE,1h
0.2,2,,0.003263848543167114,4,100003.26384854317,0.0008159621357917785,False,AVNT,1h
0.5,2,,0.0031820281594991686,4,100003.1820281595,0.0007955070398747921,False,HBAR,1h
0.4,2,,0.0031073094606399536,4,100003.10730946064,0.0007768273651599884,False,XLM,1h
0.5,6,72.0,0.0024132624392805154,185,100002.41326243928,1.3044661833948732e-05,False,SEI,1h
0.4,2,,0.001286973237991333,4,100001.28697323799,0.00032174330949783327,False,PNUT,1h
0.4,2,24.0,0.0012693383768200873,5,100001.26933837682,0.0002538676753640175,False,W,1h
0.4,2,336.0,0.0007785271182656287,17,100000.77852711827,4.579571283915463e-05,False,SKY,1h
0.3,2,,9.589050617069006e-05,4,100000.09589050617,2.3972626542672514e-05,False,AERO,1h
0.5,2,,5.9574865736067296e-05,4,100000.05957486574,1.4893716434016824e-05,False,TRUMP,1h
0.5,2,,4.1418797336518766e-05,4,100000.04141879734,1.0354699334129691e-05,False,ARB,1h
0.5,6,72.0,2.6163546135649088e-05,7,100000.02616354614,3.73764944794987e-06,False,XCN,1h
0.5,2,24.0,1.916481436637696e-05,40,100000.01916481437,4.79120359159424e-07,False,SKR,1h
0.4,2,,4.738141782581806e-06,4,100000.00473814178,1.1845354456454516e-06,False,FLOKI,1h
0.5,2,,6.878201384097338e-07,4,100000.00068782014,1.7195503460243344e-07,False,BONK,1h
0.15,2,,2.5072650169022384e-07,4,100000.0002507265,6.268162542255596e-08,False,SHIB,1h
0.05,2,,0.0,0,100000.0,0.0,False,BTC,1h
0.05,2,,0.0,0,100000.0,0.0,False,USDC,1h
0.5,2,24.0,-6.657466292381286e-06,2,99999.99334253371,-3.328733146190643e-06,False,PYTH,1h
0.5,2,168.0,-0.004467897415161133,12,99995.53210258484,-0.0003723247845967611,False,SNX,1h
0.1,2,72.0,-0.06161869691312313,320,99938.38130308688,-0.0001925584278535098,False,OP,1h
